Name,Team,Position,Cost,Creativity,Influence,Threat,ICT,Goals_conceded,Goals_scored,Assists,Own_goals,Penalties_missed,Penalties_saved,Saves,Yellow_cards,Red_cards,TSB,Minutes,Bonus,Points
Quina,WAT,MID,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Ralls,CAR,MID,47,132.5,109.2,61.0,30.0,17,0,0,0,0,0,0,1,1,0.1,675,0,13
Ramsey,ARS,MID,74,186.5,164.6,156.0,50.8,6,1,3,0,0,0,0,0,0,1.3,537,1,34
Rashford,MUN,FWD,67,72.4,117.0,133.0,32.0,4,2,1,0,0,0,0,1,1,4.7,402,1,20
Ream,FUL,DEF,43,3.2,57.2,0.0,6.1,12,0,0,0,0,0,0,0,0,0.1,323,0,2
Redmond,SOU,MID,53,245.0,128.2,227.0,59.9,19,0,0,0,0,0,0,0,0,0.3,972,0,26
Reid,CAR,FWD,52,105.9,93.4,166.0,36.3,16,1,1,0,0,0,0,0,0,0.7,607,3,27
Reid,WHU,DEF,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Rice,WHU,DEF,44,44.6,130.0,20.0,19.3,9,0,0,0,0,0,0,1,0,0.3,675,0,16
Richarlison,EVE,MID,69,107.9,285.4,340.0,73.0,11,6,1,0,0,0,0,1,1,26.5,747,8,56
Rico,FUL,GKP,44,0.0,23.8,0.0,2.3,4,0,0,0,0,0,4,0,0,0.2,180,0,3
Rico,BOU,DEF,43,61.1,46.0,16.0,12.3,6,0,0,0,0,0,0,0,0,0.0,225,0,2
Riedewald,CRY,DEF,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Ritchie,NEW,MID,58,183.5,109.8,166.0,45.8,11,0,1,0,0,0,0,3,0,0.5,801,0,24
Robertson,LIV,DEF,64,175.0,192.0,93.0,46.2,4,0,2,0,0,0,0,0,0,30.2,900,9,59
Rojo,MUN,DEF,49,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Romero,MUN,GKP,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Rondon,NEW,FWD,57,15.0,26.0,60.0,9.7,2,0,1,0,0,0,0,0,0,0.5,320,0,12
Rose,TOT,DEF,59,72.6,81.4,44.0,19.7,3,0,2,0,0,0,0,2,0,0.8,439,2,28
Ruddy,WOL,GKP,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Ryan,BHA,GKP,46,0.0,300.8,0.0,30.1,16,0,0,0,0,0,43,0,0,6.0,990,7,46
Rudiger,CHE,DEF,60,77.4,234.0,185.0,49.8,8,1,1,0,0,0,0,1,0,4.4,968,5,53
Sabiri,HUD,MID,43,0.5,4.2,2.0,0.7,3,0,0,0,0,0,0,0,0,0.1,45,0,1
Sakho,CRY,DEF,50,37.6,200.4,13.0,25.2,16,0,0,0,0,0,0,1,0,1.4,990,5,31
Sako,CRY,MID,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Salah,LIV,MID,130,329.3,319.8,664.0,131.5,5,5,4,0,0,0,0,0,0,35.3,941,2,67
Sandro,EVE,FWD,54,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Sane,MCI,MID,92,183.8,203.2,336.0,72.4,1,3,5,0,0,0,0,1,0,4.6,474,2,49
Saiss,WOL,DEF,42,0.0,13.0,0.0,1.3,0,0,0,0,0,0,0,0,0,0.1,16,0,2
Schelotto,BHA,DEF,39,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.6,0,0,0
Schindler,HUD,DEF,43,23.9,204.8,54.0,28.3,21,1,1,0,0,0,0,2,0,1.9,970,5,35
Schlupp,CRY,DEF,45,48.7,84.0,115.0,24.9,8,1,0,0,0,0,0,1,0,2.3,516,0,22
Schmeichel,LEI,GKP,50,0.0,227.2,4.0,23.1,16,0,0,0,0,0,28,1,0,5.1,990,2,34
Schneiderlin,EVE,MID,44,54.8,55.4,2.0,11.2,5,0,1,0,0,0,0,1,0,1.5,248,0,10
Schofield,HUD,GKP,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Schar,NEW,DEF,47,0.7,35.4,4.0,4.1,1,0,0,0,0,0,0,2,0,0.1,123,0,1
Schurrle,FUL,MID,59,184.5,219.6,283.0,68.4,25,4,0,0,0,0,0,2,0,5.2,866,0,39
Sema,WAT,MID,47,2.0,11.6,20.0,3.2,1,0,0,0,0,0,0,0,0,0.1,74,0,5
Seri,FUL,MID,54,383.4,244.2,33.0,66.2,25,1,2,0,0,0,0,0,0,2.7,895,6,37
Sessegnon,FUL,MID,60,141.6,166.4,165.0,47.6,26,1,1,0,0,0,0,0,0,2.6,827,1,29
Shaqiri,LIV,MID,70,87.1,95.8,83.0,26.6,2,1,4,0,0,0,0,0,0,2.3,225,0,26
Shaw,MUN,DEF,50,180.8,231.0,131.0,54.4,17,1,2,0,0,0,0,4,0,7.6,900,3,30
Shelvey,NEW,MID,54,254.9,152.4,104.0,51.2,8,0,1,0,0,0,0,0,0,0.5,680,0,21
Sigurdsson,EVE,MID,75,434.9,329.2,288.0,105.2,13,5,2,0,1,0,0,1,0,7.5,927,7,58
Silva,LEI,MID,48,6.3,14.2,0.0,2.1,1,0,0,0,0,0,0,0,0,0.2,87,0,3
Simpson,BOU,DEF,39,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4.3,0,0,0
Simpson,LEI,DEF,42,0.0,4.4,0.0,0.4,0,0,0,0,0,0,0,0,0,0.2,20,0,1
Sims,SOU,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Sinclair,WAT,FWD,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Sissoko,TOT,MID,49,78.0,75.2,43.0,19.6,4,0,1,0,0,0,0,0,0,0.2,443,2,18
Skipp,TOT,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Smalling,MUN,DEF,58,15.0,179.6,81.0,27.6,14,1,0,0,0,0,0,1,0,1.7,810,3,26
Smith,HUD,DEF,44,4.3,17.4,2.0,2.4,6,0,0,0,0,0,0,0,0,0.1,90,0,-1
Smith-Rowe,ARS,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Smithies,CAR,GKP,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Snodgrass,WHU,MID,53,194.1,86.4,91.0,36.8,10,0,0,0,0,0,0,4,0,0.1,559,0,12
Sobhi,HUD,MID,48,18.4,3.8,2.0,2.4,2,0,0,0,0,0,0,0,0,0.1,33,0,2
Sokratis,ARS,DEF,51,12.1,92.2,6.0,11.1,9,0,0,0,0,0,0,3,0,1.1,488,0,5
Solanke,LIV,FWD,48,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Son,TOT,MID,83,68.6,50.0,86.0,20.4,0,0,1,0,0,0,0,0,0,1.5,305,0,15
Souare,CRY,DEF,43,0.1,1.0,0.0,0.1,0,0,0,0,0,0,0,0,0,0.1,1,0,1
Speroni,CRY,GKP,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,10.0,0,0,0
Stanislas,BOU,MID,60,78.1,72.2,65.0,21.5,3,1,1,0,0,0,0,1,0,0.1,177,3,17
Stankovic,HUD,DEF,39,0.3,49.6,34.0,8.4,6,1,0,0,0,0,0,0,0,3.5,90,0,5
Steele,BHA,GKP,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.4,0,0,0
Stekelenburg,EVE,GKP,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3.8,0,0,0
Stephens,BHA,MID,44,33.3,127.0,11.0,17.2,12,0,0,0,0,0,0,3,0,4.7,740,0,16
Stephens,SOU,DEF,43,44.3,92.8,77.0,21.4,8,0,0,0,0,0,0,1,0,0.2,450,1,18
Sterling,MCI,MID,111,308.4,376.6,499.0,118.6,3,6,5,0,0,0,0,1,0,8.1,768,9,77
Sterry,NEW,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Steve Cook,BOU,DEF,46,14.6,310.4,95.0,42.0,14,1,1,0,0,0,0,1,0,8.8,990,3,43
Steven Sessegnon,FUL,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Stones,MCI,DEF,53,48.9,128.0,14.0,19.1,3,0,0,0,0,0,0,0,0,6.5,623,5,36
Sturridge,LIV,FWD,58,42.3,81.0,101.0,22.3,1,2,0,0,0,0,0,1,0,1.2,133,2,17
Success,WAT,FWD,46,118.7,71.6,170.0,36.0,3,1,0,0,0,0,0,1,0,3.5,343,0,17
Surman,BOU,MID,47,55.7,47.4,15.0,11.8,8,0,0,0,0,0,0,1,0,0.2,358,0,10
Suttner,BHA,DEF,39,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4.9,0,0,0
Sanchez,MUN,MID,100,184.3,135.6,219.0,53.9,6,1,3,0,0,0,0,2,0,1.4,435,1,27
Sanchez,TOT,DEF,58,14.4,162.6,63.0,24.0,5,0,2,0,0,0,0,1,0,2.0,613,4,35
Soyuncu,LEI,DEF,49,0.9,1.0,0.0,0.2,1,0,0,0,0,0,0,1,0,0.0,79,0,1
Sorloth,CRY,FWD,48,24.4,10.2,26.0,5.7,3,0,0,0,0,0,0,0,0,0.2,107,0,8
Targett,SOU,DEF,42,50.6,31.4,4.0,8.6,3,0,1,0,0,0,0,0,0,0.1,71,0,4
Tarkowski,BUR,DEF,49,15.9,371.8,94.0,48.3,24,2,0,0,0,0,0,3,0,5.5,926,1,29
Taylor,BUR,DEF,44,84.9,168.6,13.0,26.8,21,0,0,0,0,0,0,1,0,0.3,810,0,15
Tomkins,CRY,DEF,43,24.4,159.6,46.0,23.1,12,0,0,0,0,0,0,2,0,3.1,810,0,23
Torreira,ARS,MID,49,54.1,136.4,21.0,21.2,7,0,2,0,0,0,0,2,0,1.6,704,1,24
Tosun,EVE,FWD,66,85.2,128.4,202.0,41.1,9,2,2,0,0,0,0,1,0,2.0,502,0,28
Townsend,CRY,MID,57,259.6,179.8,194.0,63.5,14,1,0,0,0,0,0,1,0,1.0,956,0,29
Traore,WOL,MID,54,115.6,109.6,95.0,32.0,1,1,0,0,0,0,0,1,0,0.4,254,2,17
Trippier,TOT,DEF,63,323.6,266.8,53.0,64.3,9,1,4,0,0,0,0,1,0,33.7,885,8,58
Valencia,MUN,DEF,64,96.1,52.0,3.0,15.1,5,0,0,0,0,0,0,2,0,0.7,360,1,10
Vardy,LEI,FWD,90,62.1,136.2,307.0,50.3,11,3,1,0,0,0,0,0,1,5.0,653,5,33
Vertonghen,TOT,DEF,59,33.1,193.4,55.0,28.1,7,1,0,0,0,0,0,0,0,4.6,585,3,24
Vestergaard,SOU,DEF,47,20.1,132.2,27.0,17.9,9,0,0,0,0,0,0,1,0,0.3,540,0,15
Vietto,FUL,FWD,55,188.3,121.6,115.0,42.4,15,0,4,0,0,0,0,1,0,0.7,538,3,29
Vinagre,WOL,DEF,43,31.9,12.8,2.0,4.6,0,0,0,0,0,0,0,0,0,0.1,67,0,4
Vlasic,EVE,MID,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Vokes,BUR,FWD,53,72.4,110.4,207.0,38.2,11,2,0,0,0,0,0,0,0,1.4,606,5,30
Vorm,TOT,GKP,48,0.0,66.8,0.0,6.6,4,0,0,0,0,0,9,0,0,0.1,180,1,5
Vydra,BUR,FWD,58,20.7,44.2,50.0,11.5,4,1,0,0,0,0,0,0,0,0.0,242,0,12
Walcott,EVE,MID,63,161.0,196.0,260.0,61.8,15,2,2,0,0,0,0,0,0,5.0,889,3,42
Walker,MCI,DEF,65,120.4,160.0,52.0,33.3,3,1,0,0,0,0,0,0,0,13.2,810,4,52
Walker-Peters,TOT,DEF,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Walters,BUR,MID,48,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Wan-Bissaka,CRY,DEF,43,98.0,271.6,32.0,40.3,14,0,1,0,0,0,0,1,1,27.7,884,9,34
Wanyama,TOT,MID,49,0.6,11.0,21.0,3.2,0,0,0,0,0,0,0,0,0,0.0,57,0,3
Ward,BUR,DEF,47,17.2,48.4,19.0,8.5,6,0,0,0,0,0,0,1,0,0.7,228,0,7
Ward,CRY,DEF,43,3.1,29.8,4.0,3.7,3,0,0,0,0,0,0,0,0,0.2,101,0,2
Ward,CAR,MID,44,56.4,60.0,63.0,17.8,9,1,0,0,0,0,0,0,0,0.4,316,0,16
Ward,LEI,GKP,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Ward-Prowse,SOU,MID,51,108.0,41.4,28.0,17.7,8,0,0,0,0,0,0,1,0,0.2,181,0,5
Welbeck,ARS,FWD,65,56.8,73.6,66.0,19.5,3,1,1,0,0,0,0,0,0,0.6,146,3,19
Wells,BUR,FWD,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.1,0,0,0
Westwood,BUR,MID,45,144.1,167.2,66.0,38.0,18,0,3,0,0,0,0,2,0,1.9,751,0,28
Whiteman,TOT,GKP,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Wickham,CRY,FWD,49,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,1,0,1
Wijnaldum,LIV,MID,55,95.7,130.0,158.0,38.5,5,1,1,0,0,0,0,1,0,1.4,924,3,36
Williams,EVE,DEF,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
